mismatch,shear,stretch,stagger,buckle,propeller,opening,shift,slide,rise,tilt,roll,twist,c1c1_dist,beta(-1.0),gamma(-1.0),zeta(-1.0),beta(0.0),gamma(0.0),zeta(0.0),beta(1.0),gamma(1.0),zeta(1.0),minorgw(-2.0),majorgw(-2.0),minorgw(-1.0),majorgw(-1.0),minorgw(0.0),majorgw(0.0),minorgw(1.0),majorgw(1.0)
GT,-1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC,-1,-1,0,1,0,-1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,-1,0,0,0,1,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0
TT,2,-1,0,0,-1,1,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC,-1,-1,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA,2,1,0,0,0,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,0,1,-1,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
GA*syn,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G*Gsyn,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GG*syn,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
