param,param_mean,param_max,param_min,param_sigma
shear,-0.000,2.750,-2.297,0.383
stretch,-0.145,1.620,-1.056,0.169
stagger,0.055,2.682,-1.797,0.287
buckle,1.245,54.630,-42.866,8.501
propeller,-9.713,38.858,-36.935,6.477
opening,1.110,55.265,-32.605,4.487
c1c1_dist,10.544,12.100,9.200,0.244
minorgw,6.339,15.397,1.899,1.976
majorgw,12.190,18.357,-4.731,1.656
shift,-0.034,2.109,-2.481,0.587
slide,-0.412,2.294,-2.140,0.518
rise,3.302,7.224,2.302,0.266
tilt,-0.597,21.751,-21.751,3.087
roll,2.151,61.835,-30.096,6.178
twist,32.685,55.692,-8.241,5.245
beta,13.030,86.400,0.100,10.240
gamma,9.410,179.800,-180.000,76.000
zeta,30.040,53.500,-18.100,7.090
