param,param_mean,param_max,param_min,param_sigma
shear,-0.076,1.635,-2.145,0.357
stretch,-0.153,0.726,-0.820,0.150
stagger,0.087,1.662,-1.428,0.293
buckle,1.883,27.964,-29.687,7.529
propeller,-10.127,31.660,-37.010,8.180
opening,-0.437,23.942,-18.072,3.842
c1c1_dist,10.603,12.500,9.200,0.228
minorgw,5.288,10.808,0.758,1.554
majorgw,11.629,19.635,4.946,1.948
shift,-0.078,2.187,-2.187,0.504
slide,-0.311,2.291,-2.906,0.657
rise,3.324,5.616,2.372,0.278
tilt,-0.615,18.278,-15.488,3.015
roll,0.171,30.164,-47.125,5.562
twist,35.157,52.383,14.176,5.072
beta,10.300,57.000,0.100,8.440
gamma,-1.040,179.900,-179.700,93.060
zeta,33.630,57.400,4.600,5.770
