param,param_mean,param_max,param_min,param_sigma
shear,0.101,2.860,-2.602,0.416
stretch,-0.091,1.112,-1.042,0.196
stagger,0.053,2.682,-2.555,0.380
buckle,1.440,54.630,-47.360,8.914
propeller,-11.744,44.538,-52.991,7.818
opening,0.940,32.650,-35.875,5.175
dist_c1pc1p,10.573,12.400,9.200,0.273
minorgw,11.770,21.197,4.749,1.974
majorgw,17.820,24.962,1.069,1.517
shift,0.080,2.519,-2.782,0.566
slide,-0.336,3.030,-2.364,0.584
rise,3.274,7.224,2.101,0.281
tilt,-0.741,18.780,-29.741,3.645
roll,1.503,61.835,-54.150,6.762
twist,32.524,56.307,-4.305,4.969
