param,param_mean,param_max,param_min,param_sigma
shear,0.101,2.860,-2.602,0.418
stretch,-0.091,1.112,-1.003,0.197
stagger,0.056,2.682,-2.180,0.379
buckle,1.475,54.630,-47.360,8.917
propeller,-11.880,44.538,-52.991,7.715
opening,1.017,32.650,-35.875,5.126
dist_c1pc1p,10.571,12.400,9.200,0.271
minorgw,11.742,21.197,4.749,1.964
majorgw,17.836,24.962,1.069,1.498
shift,0.082,2.519,-2.782,0.567
slide,-0.339,3.030,-2.364,0.581
rise,3.271,7.224,2.101,0.278
tilt,-0.739,18.780,-29.741,3.656
roll,1.513,61.835,-54.150,6.733
twist,32.504,56.307,-4.305,4.981
