param,param_mean,param_max,param_min,param_sigma
shear,0.102,1.256,-0.924,0.306
stretch,-0.106,0.624,-1.042,0.151
stagger,-0.039,1.359,-2.555,0.419
buckle,-0.077,43.519,-30.190,8.676
propeller,-5.817,25.069,-33.045,9.726
opening,-2.443,17.161,-27.013,6.092
dist_c1pc1p,10.673,11.900,9.500,0.304
minorgw,13.231,19.536,8.210,1.935
majorgw,16.974,22.174,10.216,2.106
shift,-0.024,1.545,-1.652,0.526
slide,-0.183,2.375,-1.897,0.663
rise,3.413,5.272,2.210,0.384
tilt,-0.833,9.770,-17.061,3.174
roll,1.054,32.929,-20.537,7.907
twist,33.412,46.591,12.000,4.335
