param,param_mean,param_max,param_min,param_sigma
shear,0.013,2.961,-2.708,0.447
stretch,-0.088,1.620,-1.056,0.209
stagger,0.055,2.682,-2.387,0.404
buckle,0.722,55.289,-47.360,9.203
propeller,-10.771,44.538,-52.991,7.970
opening,1.073,55.265,-35.875,4.996
dist_c1pc1p,10.618,12.400,9.200,0.260
minorgw,11.932,21.197,4.749,1.868
majorgw,17.735,24.962,1.069,1.546
shift,-0.030,2.621,-2.782,0.638
slide,-0.239,3.030,-2.593,0.646
rise,3.295,7.378,1.885,0.318
tilt,-0.704,34.054,-29.741,4.097
roll,1.610,61.835,-67.835,6.656
twist,33.243,56.307,-8.241,5.120
