param,param_mean,param_max,param_min,param_sigma
shear,-0.002,1.256,-2.054,0.363
stretch,-0.119,0.628,-1.042,0.156
stagger,-0.058,1.359,-2.555,0.429
buckle,0.079,43.519,-40.718,8.634
propeller,-4.457,26.605,-37.851,10.154
opening,-1.592,23.716,-27.013,5.575
dist_c1pc1p,10.681,11.900,9.400,0.278
minorgw,13.586,19.536,8.056,2.086
majorgw,16.841,22.481,8.891,2.275
shift,-0.049,1.693,-1.693,0.575
slide,-0.077,2.504,-1.897,0.715
rise,3.454,7.652,2.210,0.492
tilt,-0.619,12.229,-26.049,3.429
roll,1.886,33.614,-31.445,8.156
twist,33.855,46.591,12.000,4.692
