param,param_mean,param_max,param_min,param_sigma
shear,-0.104,2.961,-2.708,0.456
stretch,-0.085,1.620,-1.056,0.223
stagger,0.051,2.437,-2.387,0.435
buckle,-0.258,55.289,-47.125,9.460
propeller,-9.174,29.147,-50.558,8.174
opening,1.118,55.265,-32.605,4.816
dist_c1pc1p,10.681,12.300,9.200,0.231
minorgw,12.229,20.588,6.745,1.720
majorgw,17.578,24.962,8.211,1.625
shift,-0.176,2.621,-2.579,0.693
slide,-0.103,2.901,-2.593,0.703
rise,3.330,7.652,1.885,0.370
tilt,-0.651,34.054,-26.049,4.599
roll,1.766,60.526,-67.835,6.594
twist,34.221,55.104,-8.241,5.137
