param,param_mean,param_max,param_min,param_sigma
shear,-0.103,2.961,-2.708,0.457
stretch,-0.084,1.620,-1.056,0.224
stagger,0.054,2.437,-2.387,0.434
buckle,-0.270,55.289,-47.125,9.477
propeller,-9.311,29.147,-50.558,8.063
opening,1.147,55.265,-32.605,4.819
dist_c1pc1p,10.680,12.300,9.200,0.231
minorgw,12.195,20.588,6.745,1.691
majorgw,17.596,24.962,8.211,1.599
shift,-0.178,2.621,-2.579,0.694
slide,-0.107,2.901,-2.593,0.702
rise,3.326,7.378,1.885,0.362
tilt,-0.658,34.054,-25.911,4.615
roll,1.739,60.526,-67.835,6.550
twist,34.215,55.104,-8.241,5.138
