param,param_mean,param_max,param_min,param_sigma
shear,-0.156,0.971,-2.054,0.386
stretch,-0.138,0.628,-0.986,0.161
stagger,-0.087,1.148,-2.334,0.442
buckle,0.309,35.853,-40.718,8.567
propeller,-2.445,26.605,-37.851,10.435
opening,-0.333,23.716,-15.731,4.416
dist_c1pc1p,10.693,11.400,9.400,0.235
minorgw,14.091,18.822,8.056,2.186
majorgw,16.652,22.481,8.891,2.482
shift,-0.087,1.693,-1.693,0.639
slide,0.079,2.504,-1.572,0.760
rise,3.515,7.652,2.243,0.614
tilt,-0.303,12.229,-26.049,3.753
roll,3.117,33.614,-31.445,8.361
twist,34.511,46.591,15.972,5.104
