param,param_mean,param_max,param_min,param_sigma
shear,0.067,1.635,-1.788,0.315
stretch,-0.132,0.726,-0.601,0.140
stagger,0.056,1.662,-1.428,0.295
buckle,1.191,27.964,-29.687,7.319
propeller,-12.367,16.543,-37.010,7.444
opening,-0.123,23.942,-18.072,4.438
dist_c1pc1p,10.565,11.800,9.200,0.243
minorgw,10.758,16.608,8.114,1.522
majorgw,17.402,25.435,10.746,1.796
shift,0.014,2.187,-2.187,0.431
slide,-0.459,1.914,-2.248,0.521
rise,3.267,5.616,2.404,0.258
tilt,-0.673,18.278,-15.488,2.854
roll,0.190,30.164,-47.125,5.369
twist,33.269,46.676,14.176,4.475
