param,param_mean,param_max,param_min,param_sigma
shear,0.092,1.635,-1.788,0.359
stretch,-0.124,0.726,-0.601,0.166
stagger,0.049,1.032,-1.428,0.238
buckle,1.231,21.343,-29.687,6.359
propeller,-14.332,5.738,-35.546,5.543
opening,1.272,23.942,-18.072,4.389
dist_c1pc1p,10.503,11.800,9.700,0.242
minorgw,10.221,14.137,8.540,1.197
majorgw,17.147,20.093,13.649,1.069
shift,0.050,2.187,-2.187,0.428
slide,-0.300,1.914,-1.301,0.456
rise,3.262,4.314,2.404,0.191
tilt,-0.631,18.278,-15.488,2.961
roll,0.233,26.452,-13.252,4.207
twist,32.786,46.676,20.435,4.926
