param,param_mean,param_max,param_min,param_sigma
shear,0.041,1.226,-1.293,0.257
stretch,-0.140,0.133,-0.460,0.104
stagger,0.064,1.662,-1.326,0.347
buckle,1.149,27.964,-29.615,8.227
propeller,-10.252,16.543,-37.010,8.564
opening,-1.623,14.899,-15.142,3.977
dist_c1pc1p,10.630,11.300,9.200,0.226
minorgw,11.678,16.608,8.114,1.578
majorgw,17.841,25.435,10.746,2.548
shift,-0.025,1.674,-2.164,0.431
slide,-0.629,0.928,-2.248,0.534
rise,3.273,5.616,2.553,0.314
tilt,-0.718,12.231,-15.467,2.734
roll,0.143,30.164,-47.125,6.387
twist,33.790,42.438,14.176,3.866
