param,param_mean,param_max,param_min,param_sigma
shear,-0.033,1.635,-2.145,0.366
stretch,-0.141,0.726,-0.820,0.173
stagger,0.097,1.123,-1.428,0.252
buckle,2.334,22.554,-29.687,7.073
propeller,-11.920,14.494,-36.652,6.551
opening,0.445,23.942,-18.072,4.002
dist_c1pc1p,10.563,12.500,9.700,0.239
minorgw,10.665,14.137,8.540,1.313
majorgw,17.228,20.904,13.649,1.210
shift,-0.130,2.187,-2.187,0.561
slide,-0.038,2.291,-1.301,0.599
rise,3.335,4.476,2.372,0.224
tilt,-0.844,18.278,-15.488,3.216
roll,-0.227,26.452,-20.997,4.638
twist,35.124,52.383,20.435,5.534
