param,param_mean,param_max,param_min,param_sigma
shear,-0.124,1.226,-1.293,0.340
stretch,-0.167,0.258,-0.560,0.118
stagger,0.075,1.662,-1.326,0.334
buckle,1.376,27.964,-29.615,7.981
propeller,-8.110,31.660,-37.010,9.286
opening,-1.428,14.899,-15.142,3.389
dist_c1pc1p,10.648,11.300,9.200,0.206
minorgw,11.722,16.608,6.558,1.667
majorgw,17.730,25.435,10.746,2.672
shift,-0.020,1.674,-2.164,0.424
slide,-0.618,1.816,-2.906,0.580
rise,3.311,5.616,2.477,0.327
tilt,-0.358,12.231,-15.467,2.749
roll,0.618,30.164,-47.125,6.416
twist,35.193,49.940,14.176,4.495
