param,param_mean,param_max,param_min,param_sigma
shear,-0.248,1.345,-2.145,0.328
stretch,-0.179,0.720,-0.820,0.158
stagger,0.124,1.123,-1.313,0.287
buckle,2.720,27.144,-27.835,7.694
propeller,-7.415,31.660,-36.652,8.211
opening,-0.817,13.917,-16.075,2.919
dist_c1pc1p,10.649,12.500,10.000,0.199
minorgw,11.648,15.686,6.558,1.442
majorgw,17.474,24.667,11.335,2.181
shift,-0.190,1.846,-2.132,0.561
slide,-0.133,2.291,-2.906,0.753
rise,3.393,5.610,2.372,0.285
tilt,-0.545,13.168,-13.138,3.199
roll,0.148,21.751,-25.592,5.787
twist,37.441,52.383,14.176,4.805
