param,param_mean,param_max,param_min,param_sigma
shear,-0.176,1.345,-2.145,0.320
stretch,-0.160,0.720,-0.820,0.178
stagger,0.152,1.123,-1.274,0.257
buckle,3.609,22.554,-23.987,7.622
propeller,-9.132,14.494,-36.652,6.521
opening,-0.511,13.917,-16.075,3.250
dist_c1pc1p,10.631,12.500,10.000,0.216
minorgw,11.536,13.395,8.957,1.071
majorgw,17.388,20.904,14.667,1.434
shift,-0.338,1.846,-2.132,0.621
slide,0.264,2.291,-1.204,0.601
rise,3.420,4.476,2.372,0.229
tilt,-1.089,13.168,-13.138,3.473
roll,-0.758,12.483,-20.997,5.038
twist,37.826,52.383,21.347,4.935
