param,param_mean,param_max,param_min,param_sigma
shear,-0.334,0.803,-1.161,0.316
stretch,-0.202,0.258,-0.560,0.126
stagger,0.090,1.020,-1.313,0.315
buckle,1.665,27.144,-27.835,7.646
propeller,-5.377,31.660,-34.582,9.451
opening,-1.180,8.818,-8.781,2.420
dist_c1pc1p,10.671,11.300,10.000,0.175
minorgw,11.782,15.686,6.558,1.780
majorgw,17.578,24.667,11.335,2.827
shift,-0.014,1.069,-1.453,0.415
slide,-0.605,1.816,-2.906,0.633
rise,3.360,5.610,2.477,0.338
tilt,0.101,8.722,-10.832,2.700
roll,1.223,21.751,-25.592,6.403
twist,36.984,49.940,14.176,4.604
