pdbid,name
1fos,Ap1
5zjq,Abdb-Exd
5zjr,Abdb-Exd
5zjs,Abdb-Exd
5zjt,Abdb-Exd
5i44,RacA
5kk1,AspA
3zql,SimR
3mkw,SopB
3mky,SopB
3mkz,SopB
6ama,BldC-smeA-ssfA
6amk,BldC-whil
5k58,SlmA
5k1y,AspA
5k98,HipA-HipB
5k5o,AspA
5k5q,AspA
5k5r,AspA
3vea,MatP
6cg8,GapR
3veb,MatP
4yg1,HipB
4yg4,HipB
4yg7,HipB
5hbu,SlmA
3oqm,Ccpa-Hpr
3oqn,Ccpa-Hpr
3oqo,Ccpa-Hpr
4r22,TnrA
4r24,TnrA
4r4e,GlnR
4d8j,MatP
4gck,SlmA
4gcl,SlmA
4gct,SlmA
4z58,HipB
4z59,HipB
4z5c,HipB
4z5d,HipB
4z5h,HipB
5kbj,Rep
4e68,Stat3
6qhd,Stat3
5kkq,CTCF
5k5h,CTCF
5k5i,CTCF
5k5j,CTCF
5k5l,CTCF
5t00,CTCF
5t0u,CTCF
5und,CTCF
5yef,CTCF
5yeg,CTCF
5yeh,CTCF
5yel,CTCF
1dh3,Creb
5zko,Creb
5zk1,Creb
1p47,Egr1
4r2a,Egr1
4r2c,Egr1
4r2d,Egr1
4x9j,Egr1
1dux,Elk1
1k79,Ets1
1k7a,Ets1
2nny,Ets1
2stt,Ets1
2stw,Ets1
3mfk,Ets1
3ri4,Ets1
4mhg,Etv6
3wts,Cbfb-Ets1-Runx1
3wtt,Cbfb-Ets1-Runx1
3wtu,Cbfb-Ets1-Runx1
3wtv,Cbfb-Ets1-Runx1
3wtw,Cbfb-Ets1-Runx1
3wtx,Cbfb-Ets1-Runx1
3wty,Cbfb-Ets1-Runx1
1k78,Ets1-Pax5
3wu1,Ets1-Runx1
4lg0,Ets1-FOXO1
4l0y,Ets1-Runx1
4l0z,Ets1-Runx1
4l18,Ets1-Runx1
3vek,Gata1
1gat,Gata1
1gau,Gata1
2gat,Gata1
3gat,Gata1
3vd6,Gata1
1an2,Max-Max
1hlo,Max-Max
1nlw,Mad-Max
5i50,Myc-Myc
5eyo,Max-Max
1nkp,Max-Myc
1hjb,Runx1
1hjc,Runx1
1io4,Aml1-Cbfa-Runx1
1h9d,Aml1-Cbfa-Runx1
5u01,RelA
1le5,p50-RelA
1le9,p50-RelA
1lei,p50-RelA
1ram,RelA
2ram,RelA
2i9t,p50-RelA
3gut,p50-RelA
3kz8,p53
1tsr,p53
1tup,p53
2ac0,p53
2ady,p53
2ahi,p53
2ata,p53
2geq,p53
3d0a,p53
3exj,p53
3exl,p53
3igk,p53
3igl,p53
3kmd,p53
3q05,p53
3q06,p53
3ts8,p53
4hje,p53
4ibu,p53
4ibv,p53
4ibw,p53
4mzr,p53
5bua,p53
5lgy,p53
5mct,p53
5mcu,p53
5mcv,p53
5mcw,p53
5mf7,p53
5mg7,p53
6fj5,p53
1cdw,TBP
1ais,TBP-TFIIB
1c9b,TBP-TFIIB
1d3u,TBP-TFIIB
1qna,TBP
1qnb,TBP
1qnc,TBP
1qne,TBP
1qn3,TBP
1qn4,TBP
1qn5,TBP
1qn6,TBP
1qn7,TBP
1qn8,TBP
1qn9,TBP
1rm1,TBP-TFIIA
1nh2,TBP-TFIIA
1nvp,TBP-TFIIA
1ngm,Brf1-TBP
1jfi,NC2-TBP
1tgh,TBP
1vtl,TBP
1vto,TBP
1ytb,TBP
1ytf,TBP-TFIIA
4roc,Brf2-TBP
4rod,Brf2-TBP
4roe,Brf2-TBP
4wzs,Mot1-NC2-TBP
6njq,TBP
xac1,TBP
xcca,TBP
xccb,TBP
xcc2,TBP
1r4o,GR
1r4r,GR
4hn5,GR
4hn6,GR
5emc,GR
5emp,GR
5emq,GR
3fyl,GR
5e69,GR
6bqu,GR
6bse,GR
6bsf,GR
5va0,GR
5va7,GR
5e6a,GR
5e6b,GR
5e6c,GR
5e6d,GR
3g97,GR
3g99,GR
3g6p,GR
3g6q,GR
3g6r,GR
3g6t,GR
3g6u,GR
3g9i,GR
3g9j,GR
3g8u,GR
3g9m,GR
3g8x,GR
3g9o,GR
3g9p,GR
5cc1,GR
5cby,GR
