pdbid,uniprot
173d,null
1a02,
1a0a,Phosphate system positive regulatory protein PHO4
1a1f,Early growth response protein 1
1a1g,Early growth response protein 1
1a1h,Early growth response protein 1
1a1i,Early growth response protein 1
1a1j,Early growth response protein 1
1a1k,Early growth response protein 1
1a1l,Early growth response protein 1
1a31,DNA topoisomerase 1
1a35,DNA topoisomerase 1
1a36,DNA topoisomerase 1
1a3q,Nuclear factor NF-kappa-B p100 subunit
1a6y,Nuclear receptor subfamily 1 group D member 1
1a73,Intron-encoded endonuclease I-PpoI
1aay,Early growth response protein 1
1ais,TATA-box-binding protein
1akh,Mating-type protein A1
1am9,Sterol regulatory element-binding protein 1
1an2,Protein max
1an4,Upstream stimulatory factor 1
1aoi,Histone H3.3C
1apl,
1au7,Pituitary-specific positive transcription factor 1
1awc,GA-binding protein alpha chain
1az0,Type-2 restriction enzyme EcoRV
1azp,DNA-binding protein 7d
1azq,DNA-binding protein 7d
1b01,Protein CopG
1b3t,Epstein-Barr nuclear antigen 1
1b72,Homeobox protein Hox-B1
1b8i,Homeotic protein ultrabithorax
1b94,Type-2 restriction enzyme EcoRV
1b95,Type-2 restriction enzyme EcoRV
1b96,Type-2 restriction enzyme EcoRV
1b97,Type-2 restriction enzyme EcoRV
1bc7,
1bc8,
1bdt,Transcriptional repressor arc
1bdv,Transcriptional repressor arc
1bf5,Signal transducer and activator of transcription 1-alpha/beta
1bgb,Type-2 restriction enzyme EcoRV
1bhm,Type-2 restriction enzyme BamHI
1bl0,Multiple antibiotic resistance protein MarA
1bnk,DNA-3-methyladenine glycosylase
1bnz,DNA-binding protein 7d
1bp7,
1bpx,DNA polymerase beta
1bpz,DNA polymerase beta
1bss,Type-2 restriction enzyme EcoRV
1by4,Retinoic acid receptor RXR-alpha
1c9b,Transcription initiation factor IIB
1ca5,DNA-binding protein 7d
1cdw,TATA-box-binding protein
1cez,T7 RNA polymerase
1cf7,Transcription factor E2F4
1cit,Nuclear receptor subfamily 4 group A member 1
1ckq,Type-2 restriction enzyme EcoRI
1cl8,Type-2 restriction enzyme EcoRI
1crx,Recombinase cre
1cw0,Very short patch repair protein
1cyq,Intron-encoded endonuclease I-PpoI
1d02,Type-2 restriction enzyme MunI
1d0e,Gag-Pol polyprotein
1d1u,Gag-Pol polyprotein
1d2i,Type-2 restriction enzyme BglII
1d3u,TATA-box-binding protein
1d5y,Right origin-binding protein
1d66,Regulatory protein GAL4
1dc1,Type-2 restriction enzyme BsoBI
1dct,Modification methylase HaeIII
1ddn,Diphtheria toxin repressor
1de8,DNA-(apurinic or apyrimidinic site) lyase
1dew,DNA-(apurinic or apyrimidinic site) lyase
1dfm,Type-2 restriction enzyme BglII
1dgc,General control protein GCN4
1dh3,Cyclic AMP-responsive element-binding protein 1
1diz,DNA-3-methyladenine glycosylase 2
1dmu,Type-2 restriction enzyme BglI
1drg,Recombinase cre
1dsz,Retinoic acid receptor alpha
1du0,Segmentation polarity homeobox protein engrailed
1dux,
1e3o,
1ea4,Protein CopG
1ebm,N-glycosylase/DNA lyase
1ecr,DNA replication terminus site-binding protein
1egw,Myocyte-specific enhancer factor 2A
1ej9,DNA topoisomerase 1
1emh,Uracil-DNA glycosylase
1eoo,Type-2 restriction enzyme EcoRV
1eop,Type-2 restriction enzyme EcoRV
1eqz,Histone H2A-IV
1eri,Type-2 restriction enzyme EcoRI
1esg,Type-2 restriction enzyme BamHI
1ewn,DNA-3-methyladenine glycosylase
1ewq,DNA mismatch repair protein MutS
1eyu,Type-2 restriction enzyme PvuII
1f2i,
1f44,Recombinase cre
1f4k,Replication termination protein
1f4r,DNA-3-methyladenine glycosylase
1f5t,Diphtheria toxin repressor
1f66,Histone H3.2
1f6o,DNA-3-methyladenine glycosylase
1fjl,Segmentation protein paired
1flo,Site-specific recombinase Flp
1fn7,N-glycosylase/DNA lyase
1fok,Type-2 restriction enzyme FokI
1fyl,Heat shock factor protein
1fym,Heat shock factor protein
1g2d,
1g2f,
1g9y,DNA endonuclease I-CreI
1g9z,DNA endonuclease I-CreI
1ga5,Nuclear receptor subfamily 1 group D member 1
1gd2,
1gdt,Transposon gamma-delta resolvase
1gji,Proto-oncogene c-Rel
1glu,Glucocorticoid receptor
1gt0,
1gtw,CCAAT/enhancer-binding protein beta
1gu4,CCAAT/enhancer-binding protein beta
1gu5,CCAAT/enhancer-binding protein beta
1gxp,Phosphate regulon transcriptional regulatory protein PhoB
1h38,T7 RNA polymerase
1h6f,T-box transcription factor TBX3
1h88,CCAAT/enhancer-binding protein beta
1h89,CCAAT/enhancer-binding protein beta
1h8a,CCAAT/enhancer-binding protein beta
1h9d,Runt-related transcription factor 1
1hcq,Estrogen receptor
1hcr,DNA-invertase hin
1hdd,
1hf0,"POU domain, class 2, transcription factor 1"
1hjb,CCAAT/enhancer-binding protein beta
1hjc,Runt-related transcription factor 1
1hlo,Protein max
1hlv,Major centromere autoantigen B
1hlz,Nuclear receptor subfamily 1 group D member 1
1hwt,
1i3j,Intron-associated endonuclease 1
1i6j,Gag-Pol polyprotein
1iaw,Type-2 restriction enzyme NaeI
1ic8,Hepatocyte nuclear factor 1-alpha
1if1,Interferon regulatory factor 1
1ig7,Homeobox protein MSX-1
1ign,DNA-binding protein RAP1
1ihf,Integration host factor subunit alpha
1ijw,
1imh,
1io4,CCAAT/enhancer-binding protein beta
1iu3,
1j1v,Chromosomal replication initiator protein DnaA
1j3e,Negative modulator of initiation of replication
1je8,Nitrate/nitrite response regulator protein NarL
1jey,X-ray repair cross-complementing protein 6
1jfi,Dr1-associated corepressor
1jgg,Segmentation protein even-skipped
1jj4,Regulatory protein E2
1jj6,
1jj8,
1jk1,Early growth response protein 1
1jk2,Early growth response protein 1
1jko,
1jkp,
1jkq,
1jkr,
1jnm,Transcription factor AP-1
1jt0,HTH-type transcriptional regulator QacR
1k3w,Endonuclease 8
1k61,Mating-type protein ALPHA2
1k78,Paired box protein Pax-5
1k79,Protein C-ets-1
1k7a,Protein C-ets-1
1k82,Formamidopyrimidine-DNA glycosylase
1kb2,Vitamin D3 receptor
1kb4,Vitamin D3 receptor
1kb6,Vitamin D3 receptor
1kbu,Recombinase cre
1kc6,Type-2 restriction enzyme HincII
1kfv,Formamidopyrimidine-DNA glycosylase
1ku7,RNA polymerase sigma factor SigA
1kx3,Histone H3.2
1kx4,Histone H3.2
1kx5,Histone H3.2
1l1t,Formamidopyrimidine-DNA glycosylase
1l1z,Formamidopyrimidine-DNA glycosylase
1l2c,Formamidopyrimidine-DNA glycosylase
1l2d,
1lat,Glucocorticoid receptor
1le5,Transcription factor p65
1le8,Mating-type protein A1
1le9,Transcription factor p65
1lei,Transcription factor p65
1lli,Repressor protein cI
1llm,
1lmb,
1lq1,Stage 0 sporulation protein A
1lrr,Negative modulator of initiation of replication
1lwy,N-glycosylase/DNA lyase
1m3h,N-glycosylase/DNA lyase
1m5x,
1m6x,Site-specific recombinase Flp
1ma7,Recombinase cre
1mdm,Paired box protein Pax-5
1mdy,Myoblast determination protein 1
1mey,
1mhd,Mothers against decapentaplegic homolog 3
1mjm,Met repressor
1mm8,Transposase for transposon Tn5
1mnm,Pheromone receptor transcription factor
1mnn,Meiosis-specific transcription factor NDT80
1mow,P05725:#DNA endonuclease I-CreI#P21505:#Homing endonuclease I-DmoI
1mtl,G/U mismatch-specific DNA glycosylase
1muh,Transposase for transposon Tn5
1mus,Transposase for transposon Tn5
1n39,N-glycosylase/DNA lyase
1n3a,N-glycosylase/DNA lyase
1n3c,N-glycosylase/DNA lyase
1n3e,DNA endonuclease I-CreI
1n3f,DNA endonuclease I-CreI
1n6j,Myocyte-specific enhancer factor 2B
1nfk,Nuclear factor NF-kappa-B p105 subunit
1ngm,TATA-box-binding protein
1nh2,TATA-box-binding protein
1nkp,Myc proto-oncogene protein
1nlw,Max dimerization protein 1
1nnj,Formamidopyrimidine-DNA glycosylase
1nvp,TATA-box-binding protein
1nwq,CCAAT/enhancer-binding protein alpha
1oct,
1odh,Chorion-specific transcription factor GCMa
1oe4,Single-strand selective monofunctional uracil DNA glycosylase
1omh,
1osb,
1oup,
1ouz,Integration host factor subunit alpha
1owf,Integration host factor subunit alpha
1owg,Integration host factor subunit alpha
1owr,
1ozj,Mothers against decapentaplegic homolog 3
1p34,Histone H3.2
1p3a,Histone H3.2
1p3b,Histone H3.2
1p3f,Histone H3.2
1p3g,Histone H3.2
1p3i,Histone H3.2
1p3k,Histone H3.2
1p3l,Histone H3.2
1p3m,Histone H3.2
1p3o,Histone H3.2
1p3p,Histone H3.2
1p47,Early growth response protein 1
1p4e,Site-specific recombinase Flp
1p7d,Integrase
1p7h,
1p8k,
1par,Transcriptional repressor arc
1pdn,
1per,
1pji,Formamidopyrimidine-DNA glycosylase
1pjj,Formamidopyrimidine-DNA glycosylase
1pm5,Formamidopyrimidine-DNA glycosylase
1pp7,
1pt3,Colicin-E7
1pue,
1puf,Homeobox protein Hox-A9
1pvp,Recombinase cre
1pvq,Recombinase cre
1pvr,Recombinase cre
1q3u,Recombinase cre
1q3v,Recombinase cre
1qai,Gag-Pol polyprotein
1qaj,Gag-Pol polyprotein
1qln,T7 RNA polymerase
1qn3,TATA-box-binding protein 1
1qn4,TATA-box-binding protein 1
1qn5,TATA-box-binding protein 1
1qn6,TATA-box-binding protein 1
1qn7,TATA-box-binding protein 1
1qn8,TATA-box-binding protein 1
1qn9,TATA-box-binding protein 1
1qna,TATA-box-binding protein 1
1qnb,TATA-box-binding protein 1
1qnc,TATA-box-binding protein 1
1qne,TATA-box-binding protein 1
1qp9,Heme-responsive zinc finger transcription factor HAP1
1qpi,Tetracycline repressor protein class D
1qrh,Type-2 restriction enzyme EcoRI
1qri,Type-2 restriction enzyme EcoRI
1qrv,High mobility group protein D
1qum,Endonuclease 4
1qx0,
1r0n,Retinoic acid receptor RXR-alpha
1r0o,Protein ultraspiracle
1r2y,Formamidopyrimidine-DNA glycosylase
1r2z,Formamidopyrimidine-DNA glycosylase
1r4o,Glucocorticoid receptor
1r4r,Glucocorticoid receptor
1r71,Transcriptional repressor protein KorB
1r7m,Intron-encoded endonuclease I-SceI
1r8d,HTH-type transcriptional activator mta
1rep,
1rh6,Excisionase
1rm1,TATA-box-binding protein
1rpe,
1rv5,Type-2 restriction enzyme EcoRV
1rva,Type-2 restriction enzyme EcoRV
1rvb,Type-2 restriction enzyme EcoRV
1rvc,Type-2 restriction enzyme EcoRV
1rxw,Flap endonuclease 1
1rzr,Catabolite control protein A
1rzt,DNA polymerase lambda
1s6m,
1sa3,Type-2 restriction enzyme MspI
1sax,Methicillin resistance regulatory protein MecI
1sks,DNA-directed DNA polymerase
1skw,DNA-directed DNA polymerase
1sl1,DNA-directed DNA polymerase
1stx,Type-2 restriction enzyme EcoRV
1suz,Type-2 restriction enzyme EcoRV
1svc,
1sx5,Type-2 restriction enzyme EcoRV
1sx8,Type-2 restriction enzyme EcoRV
1t2k,Interferon regulatory factor 3
1t2t,Intron-associated endonuclease 1
1t9i,DNA endonuclease I-CreI
1t9j,DNA endonuclease I-CreI
1tdz,Formamidopyrimidine-DNA glycosylase
1tgh,TATA-box-binding protein
1tqe,
1tsr,Cellular tumor antigen p53
1ttu,
1tup,Cellular tumor antigen p53
1tv9,DNA polymerase beta
1tva,DNA polymerase beta
1tw8,Type-2 restriction enzyme HincII
1tx3,Type-2 restriction enzyme HincII
1u0c,DNA endonuclease I-CreI
1u0d,DNA endonuclease I-CreI
1u35,Histone H3.1
1u3e,
1u8b,Bifunctional transcriptional activator/DNA repair enzyme Ada
1u8r,Iron-dependent repressor IdeR
1ubd,
1uut,
1v14,Colicin-E9
1v15,Colicin-E9
1vas,Endonuclease V
1vkx,Transcription factor p65
1vol,Transcription initiation factor IIB
1vrr,
1vtl,
1vtn,
1vto,TATA-box-binding protein 1
1w0t,Telomeric repeat-binding factor 1
1w0u,Telomeric repeat-binding factor 2
1wd0,DNA-binding protein 7d
1wd1,DNA-binding protein 7d
1wto,DNA-binding protein 7d
1wtq,DNA-binding protein 7d
1wtr,DNA-binding protein 7d
1wtv,DNA-binding protein 7d
1wtw,DNA-binding protein 7d
1wtx,DNA-binding protein 7d
1wvl,DNA-binding protein 7d
1x9m,DNA-directed DNA polymerase
1x9s,DNA-directed DNA polymerase
1x9w,DNA-directed DNA polymerase
1xbr,Brachyury protein
1xc8,Formamidopyrimidine-DNA glycosylase
1xhu,Type-2 restriction enzyme HincII
1xhv,Type-2 restriction enzyme HincII
1xns,Recombinase cre
1xo0,Recombinase cre
1xpx,Homeobox protein prospero
1xsd,Penicillinase repressor
1xsl,DNA polymerase lambda
1xsp,DNA polymerase lambda
1xyi,DNA-binding protein 7d
1yfi,Type-2 restriction enzyme MspI
1ynw,Vitamin D3 receptor
1yo5,
1yqk,N-glycosylase/DNA lyase
1yql,N-glycosylase/DNA lyase
1yqm,N-glycosylase/DNA lyase
1yqr,N-glycosylase/DNA lyase
1yrn,Mating-type protein A1
1ysa,
1ytb,TATA-box-binding protein
1ytf,TATA-box-binding protein
1z19,Integrase
1z63,
1z9c,Organic hydroperoxide resistance transcriptional regulator
1zaa,
